Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Guy Cisternino,USA,21,21,21,,,63,7,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Michael Lockett,USA,9,8,7,,,24,3,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Tomas Kaspar,Czech Republic,15,17,15,,,47,5,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Earl Abrahams,South Africa,18,16,18,,,52,6,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Johnnie O. Jackson,USA,12,13,11,,,36,4,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Derek Upshaw,USA,24,24,24,,,72,8,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Juan Morel,USA,6,7,8,,,21,2,Men's Bodybuilding - Open
2017 Arnold Classic South American,"Sao Paulo, Brazil","April 22, 2017",Lukas Osladil,Czech Republic,3,3,3,,,9,1,Men's Bodybuilding - Open
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Maria Luisa Baeza Diaz,"Melrose, Massachusetts",27,,,,,27,5,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Michelle Brown,"Los Gatos, California",50,,,,,50,9,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Jessica Canty,"Lone Tree, Colorado",80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Arnita Champion,"Ontario, California",78,,,,,78,16,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Krissy Chin,"Menifee, California",69,,,,,69,14,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Joanna Cometa,"San Diego, California",28,,,,,28,6,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Sally Estrellado,"Sacramento, California",80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Sara Ford,"San Diego, California",18,,,,,18,4,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Wendy Fortino,"San Jose, California",11,,,,,11,2,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Susana Garcia,Mexico,77,,,,,77,15,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Tarryn Garlington,"Seaside, California",40,,,,,40,8,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Stacie Gladwell,"Pleasant View, Utah",52,,,,,52,10,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Sandra Grajales,Mexico,8,,,,,8,1,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Carolyn Hudson Harris,"Corvallis, Oregon",35,,,,,35,7,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Tamika Irvin,"Denver, Colorado",65,,,,,65,13,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Ashley Losee,"West Lafayette, Indiana",56,,,,,56,12,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Idalia Molina,Puerto Rico,80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Linda Nelson,"Seattle, Washington",80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Nury Perez,Mexico,80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Andrea Pollard,"San Antonio, Texas",53,,,,,53,11,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Krystal Ricci,"Lincoln, California",80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Kathleen Sarmento,"Santa Rosa, California",80,,,,,80,17,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Natalia Soltero,Mexico,13,,,,,13,3,Figure
2017 IFBB Governors Cup,"Sacramento, California","April 1, 2017",Kelly Tollefsen,"Sacramento, California",80,,,,,80,17,Figure
2017 IFBB GOVERNORS CUP,"Sacramento, California","April 1, 2017",Michelle Brown,"Los Gatos, California",15,,,,,15,3,Figure Masters
2017 IFBB GOVERNORS CUP,"Sacramento, California","April 1, 2017",Arnita Champion,"Ontario, California",27,,,,,27,7,Figure Masters
