competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Ching Chieh Lin,Taiwan,3,,3,1,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Aphichai Wandee,Thailand,6,,6,2,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Geonwoo Kim,South Korea,9,,9,3,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Nam Eun Cho,South Korea,12,,12,4,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Abolfazl Mashayekhi,Iran,15,,15,5,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Young Gyu Kim,South Korea,18,,18,6,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Hill Chou,Taiwan,21,,21,7,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Ray Chao,Taiwan,24,,24,8,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Jamie Do Rego,UAE,27,,27,9,men’s 212 bodybuilding – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Yu Bin Chen,Taiwan,3,,3,1,men’s classic physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Yukihiro Yuasa,Japan,6,,6,2,men’s classic physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Jason Huang,Taiwan,9,,9,3,men’s classic physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Lihsuan Liu,Taiwan,12,,12,4,men’s classic physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
