place,judging,finals,total,competitors_name,country,category,competition,location,date,url,img_url,check
7,21.0,0.0,21.0,Aslan Abdullayev,"{'city': '', 'state': '', 'country': 'Kazakhstan'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
6,18.0,0.0,18.0,Ravi Chaudhary,"{'city': '', 'state': '', 'country': 'India'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
1,3.0,0.0,3.0,Philippe Degila,"{'city': '', 'state': '', 'country': 'France'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
4,11.0,0.0,11.0,Furkan Er,"{'city': '', 'state': '', 'country': 'Turkey'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
2,6.0,0.0,6.0,Anik Ghosh,"{'city': '', 'state': '', 'country': 'India'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
10,32.0,0.0,32.0,Aleksey Glushak,"{'city': '', 'state': '', 'country': 'Belarus'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
3,10.0,0.0,10.0,Yeldos Kozybayev,"{'city': '', 'state': '', 'country': 'Kazakhstan'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
,,,,Ilya Kvashnin,"{'city': '', 'state': '', 'country': 'Russia'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,False
12,35.0,0.0,35.0,Vardhan Malhotra,"{'city': '', 'state': '', 'country': 'India'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
8,24.0,0.0,24.0,Husain Manowchehri,"{'city': '', 'state': '', 'country': 'Bahrain'}",Men's Physique,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg,True
