competitors_name,country,judging,finals,total,place,category,date,location,url,img_url,competition,check
Sung Yeop Jang,"{'city': '', 'state': '', 'country': 'South Korea'}",4.0,0.0,4.0,1,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Lei Chen,"{'city': '', 'state': '', 'country': 'China'}",5.0,0.0,5.0,2,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
En Zhou,"{'city': '', 'state': '', 'country': 'China'}",9.0,0.0,9.0,3,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Jiang Wen Ming,"{'city': '', 'state': '', 'country': 'China'}",12.0,0.0,12.0,4,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Ahmad Dokhy,"{'city': '', 'state': '', 'country': 'Norway'}",15.0,0.0,15.0,5,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Weiyang Ding,"{'city': '', 'state': '', 'country': 'China'}",18.0,0.0,18.0,6,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Liyangyang Li,"{'city': '', 'state': '', 'country': 'China'}",21.0,0.0,21.0,7,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Hao Jiang,"{'city': '', 'state': '', 'country': 'China'}",24.0,0.0,24.0,8,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Xi Qing Mao,"{'city': '', 'state': '', 'country': 'China'}",28.0,0.0,28.0,9,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Ebrahim Alqallaf,"{'city': '', 'state': '', 'country': 'Bahrain'}",29.0,0.0,29.0,10,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
Asmawi Zolkifli,"{'city': '', 'state': '', 'country': 'Malaysia'}",33.0,0.0,33.0,11,Men's 212 Bodybuilding,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2,True
