competitors_name,country,judging,finals,total,place,category,date,location,url,img_url,competition,check
Ching Chieh Lin,"{'city': '', 'state': '', 'country': 'Taiwan'}",3.0,0.0,3.0,1,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Aphichai Wandee,"{'city': '', 'state': '', 'country': 'Thailand'}",6.0,0.0,6.0,2,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Geonwoo Kim,"{'city': '', 'state': '', 'country': 'South Korea'}",9.0,0.0,9.0,3,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Nam Eun Cho,"{'city': '', 'state': '', 'country': 'South Korea'}",12.0,0.0,12.0,4,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Abolfazl Mashayekhi,"{'city': '', 'state': '', 'country': 'Iran'}",15.0,0.0,15.0,5,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Young Gyu Kim,"{'city': '', 'state': '', 'country': 'South Korea'}",18.0,0.0,18.0,6,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Hill Chou,"{'city': '', 'state': '', 'country': 'Taiwan'}",21.0,0.0,21.0,7,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Ray Chao,"{'city': '', 'state': '', 'country': 'Taiwan'}",24.0,0.0,24.0,8,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jamie Do Rego,"{'city': '', 'state': '', 'country': 'UAE'}",27.0,0.0,27.0,9,Men's 212 Bodybuilding,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Yu Bin Chen,"{'city': '', 'state': '', 'country': 'Taiwan'}",3.0,0.0,3.0,1,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Yukihiro Yuasa,"{'city': '', 'state': '', 'country': 'Japan'}",6.0,0.0,6.0,2,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jason Huang,"{'city': '', 'state': '', 'country': 'Taiwan'}",9.0,0.0,9.0,3,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Lihsuan Liu,"{'city': '', 'state': '', 'country': 'Taiwan'}",12.0,0.0,12.0,4,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jun Lang Han,"{'city': '', 'state': '', 'country': 'Taiwan'}",16.0,0.0,16.0,5,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Benjamin Broughton,"{'city': '', 'state': '', 'country': 'Singapore'}",17.0,0.0,17.0,6,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Kherlen Batbayar,"{'city': '', 'state': '', 'country': 'Mongolia'}",21.0,0.0,21.0,7,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Brian Au,"{'city': '', 'state': '', 'country': 'Hong Kong'}",24.0,0.0,24.0,8,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Wei Chieh Huang,"{'city': '', 'state': '', 'country': 'Taiwan'}",28.0,0.0,28.0,9,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Wu Harry,"{'city': '', 'state': '', 'country': 'Taiwan'}",29.0,0.0,29.0,10,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Yeol Bak,"{'city': '', 'state': '', 'country': 'South Korea'}",32.0,0.0,32.0,11,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Maxx Hon Chung Lam,"{'city': '', 'state': '', 'country': 'Hong Kong'}",38.0,0.0,38.0,12,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Hyunwoo Shi,"{'city': '', 'state': '', 'country': 'South Korea'}",39.0,0.0,39.0,13,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jaewan Park,"{'city': '', 'state': '', 'country': 'South Korea'}",42.0,0.0,42.0,14,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Hoang Phuc Nguyen,"{'city': '', 'state': '', 'country': 'Taiwan'}",,,,,Men's Classic Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,False
Yoon Sung Lee,"{'city': '', 'state': '', 'country': 'South Korea'}",3.0,0.0,3.0,1,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Farouq Ishimoto,"{'city': '', 'state': '', 'country': 'Japan'}",6.0,0.0,6.0,2,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Rui Liu,"{'city': '', 'state': '', 'country': 'China'}",9.0,0.0,9.0,3,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Gymray Yu,"{'city': '', 'state': '', 'country': 'Taiwan'}",12.0,0.0,12.0,4,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Chien Hsin Chen,"{'city': '', 'state': '', 'country': 'Taiwan'}",15.0,0.0,15.0,5,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Ming Chieh Tsai,"{'city': '', 'state': '', 'country': 'Taiwan'}",18.0,0.0,18.0,6,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jackson Peos,"{'city': '', 'state': '', 'country': 'Australia'}",21.0,0.0,21.0,7,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Nur Irfan Bin Ahmad,"{'city': '', 'state': '', 'country': 'Singapore'}",24.0,0.0,24.0,8,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Zihao Wei,"{'city': '', 'state': '', 'country': 'Taiwan'}",27.0,0.0,27.0,9,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jimmy Chen,"{'city': '', 'state': '', 'country': 'Taiwan'}",30.0,0.0,30.0,10,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Seungho Chae,"{'city': '', 'state': '', 'country': 'South Korea'}",33.0,0.0,33.0,11,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Auppachai Phonklad,"{'city': '', 'state': '', 'country': 'Thailand'}",36.0,0.0,36.0,12,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Seungmu Lee,"{'city': '', 'state': '', 'country': 'South Korea'}",39.0,0.0,39.0,13,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Steven Liu,"{'city': '', 'state': '', 'country': 'Taiwan'}",42.0,0.0,42.0,14,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Woo Young Seo,"{'city': '', 'state': '', 'country': 'South Korea'}",45.0,0.0,45.0,15,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Penny Cheung,"{'city': '', 'state': '', 'country': 'Hong Kong'}",48.0,0.0,48.0,16,Men's Physique,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Dahye Jeon,"{'city': '', 'state': '', 'country': 'South Korea'}",3.0,0.0,3.0,1,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Miharu Kurachi,"{'city': '', 'state': '', 'country': 'Japan'}",6.0,0.0,6.0,2,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Yuhsuan Fu,"{'city': '', 'state': '', 'country': 'Taiwan'}",9.0,0.0,9.0,3,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Maiko Otsuka,"{'city': '', 'state': '', 'country': 'Japan'}",12.0,0.0,12.0,4,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Jamie Wu,"{'city': '', 'state': '', 'country': 'New Zealand'}",15.0,0.0,15.0,5,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Amanda Lee,"{'city': '', 'state': '', 'country': 'Singapore'}",18.0,0.0,18.0,6,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Asaka Kimura,"{'city': '', 'state': '', 'country': 'Japan'}",21.0,0.0,21.0,7,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Baek Minhee,"{'city': '', 'state': '', 'country': 'South Korea'}",24.0,0.0,24.0,8,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Shelly Hsieh,"{'city': '', 'state': '', 'country': 'Taiwan'}",27.0,0.0,27.0,9,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Josephine Yeong,"{'city': '', 'state': '', 'country': 'Malaysia'}",30.0,0.0,30.0,10,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Man Chen Wang,"{'city': '', 'state': '', 'country': 'Taiwan'}",34.0,0.0,34.0,11,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Wendy Tsai,"{'city': '', 'state': '', 'country': 'Taiwan'}",35.0,0.0,35.0,12,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
Hye Kyeong Hwang,"{'city': '', 'state': '', 'country': 'South Korea'}",39.0,0.0,39.0,13,Women's Bikini,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale,True
