start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website,eventName,name
20.12.2024,22.12.2024,https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,"{'city': 'Kaohsiung', 'state': '', 'country': 'Taiwan'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,John Chen,https://www.ifbbpro.com.tw/,2024 Taiwan Pro Finale,Taiwan Pro Finale
20.12.2024,22.12.2024,https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,"{'city': 'Mumbai', 'state': '', 'country': 'India'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini""]",Open,Sheru Aangrish (Mumbai),http://www.sheruclassic.com/,2024 Sheru Classic Mumbai Pro Show,Sheru Classic Mumbai Pro Show
14.12.2024,14.12.2024,https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,"{'city': 'Beijing', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Kate Zou,https://pro.olympiacertificate.com/,2024 Huanji China Pro 2,Huanji China Pro 2
14.12.2024,15.12.2024,https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,"{'city': 'Cuidad del Este', 'state': '', 'country': 'Paraguay'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Fernando Loreiro (Sudamerica),https://www.npcsudamerica.com/,2024 Ronnie Coleman Sur Pro Cup,Ronnie Coleman Sur Pro Cup
14.12.2024,14.12.2024,https://www.ifbbpro.com/competition/2024-musclecontest-austria/,"{'city': 'Schwechat', 'state': '', 'country': 'Austria'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Austria,Musclecontest Austria
07.12.2024,07.12.2024,https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,"{'city': 'Campinas', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Nacional,Musclecontest Nacional
07.12.2024,07.12.2024,https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,"{'city': 'Union City', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Spectrum Fitness Productions,https://www.spectrumfitnessproductions.com/,2024 Battle Of The Bay,Battle Of The Bay
30.11.2024,30.11.2024,https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,"{'city': 'Juiz de Fora', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Luciano Cruz Juiz De Fora Pro,Luciano Cruz Juiz De Fora Pro
30.11.2024,01.12.2024,https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Bodybuilding"", ""Women's Bikini""]",Open,Juan Carlos Beltran | Emilio Martinez,https://bigmanweekend.com/,2024 Bigman Weekend Spain Pro,Bigman Weekend Spain Pro
24.11.2024,24.11.2024,https://www.ifbbpro.com/competition/2024-japan-pro/,"{'city': 'Tokyo', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Physique"", ""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/,2024 Japan Pro,Japan Pro
