url,start_date,end_date,location,comp_type,divisions,division_type,promoter,promoter_website,year,eventName,name,name_key
https://www.ifbbpro.com/competition/20205-world-classic/,20.06.2025,20.06.2025,"{'city': 'Chattanooga', 'state': 'TN', 'country': 'United States'}",IFBB Pro,"[""Men's Physique""]",Open,Sandy Williamson | Robin Chang | Doug Green,https://npcjrnats.com/,2025,20205_world_classic,20205_world_classic,world_classic_pro_mens_physique
https://www.ifbbpro.com/competition/2025-1-bro-bikini-pro-show/,19.04.2025,19.04.2025,"{'city': 'Maidenhead', 'state': '', 'country': 'United Kingdom'}",IFBB Pro,"[""Women's Bikini""]",Open,2 Bros Pros,https://www.2bpevents.com/,2025,2025_1_bro_bikini_pro_show,1_bro_bikini_pro_show,1_bro_pro_show
https://www.ifbbpro.com/competition/2025-adela-garcia-classic-pro-am/,07.06.2025,07.06.2025,"{'city': 'Austin', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Women's Fitness""]",Open and Masters,Adela Garcia,https://npcadelagarcia.com/,2025,2025_adela_garcia_classic_pro_am,adela_garcia_classic_pro_am,adela_garcia_classic
https://www.ifbbpro.com/competition/2025-african-pro/,06.12.2025,07.12.2025,"{'city': 'Johannesburg', 'state': '', 'country': 'South Africa'}",IFBB Pro,"[""Men's Wheelchair""]",Open,Champagne Productions,https://champagneproductionsafrica.com/,2025,2025_african_pro,african_pro,african_pro
https://www.ifbbpro.com/competition/2025-agp-pro-show-2/,12.10.2025,12.10.2025,"{'city': 'Gyeonggi State', 'state': 'Korea', 'country': 'Republic of'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Wellness""]",Open,Alex Hong,https://ifbbprokorea.com/,2025,2025_agp_pro_show_2,agp_pro_show_2,agp_pro_all_stars
https://www.ifbbpro.com/competition/2025-agp-pro-show/,25.05.2025,25.05.2025,"{'city': 'Gyeonggi State', 'state': 'Korea', 'country': 'Republic of'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",,Alex Hong,https://ifbbprokorea.com/,2025,2025_agp_pro_show,agp_pro_show,agp_pro_show
https://www.ifbbpro.com/competition/2025-all-south-pro-championships/,01.11.2025,01.11.2025,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Shannon Dey,https://npcallsouth.com/,2025,2025_all_south_pro_championships,all_south_pro_championships,all_south_pro_championships
https://www.ifbbpro.com/competition/2025-arnold-classic/,27.02.2025,02.03.2025,"{'city': 'Columbus', 'state': 'OH', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Fitness"", ""Women's Wellness""]",Open,Lloyd Davis,https://www.arnoldsports.com/,2025,2025_arnold_classic,arnold_classic,arnold_classic
https://www.ifbbpro.com/competition/2025-arnold-sports-festival-south-america/,04.04.2025,06.04.2025,"{'city': 'Sao Paulo', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Wheelchair""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_arnold_sports_festival_south_america,arnold_sports_festival_south_america,arnold_classic_south_america
https://www.ifbbpro.com/competition/2025-austrian-oak-pro/,24.08.2025,24.08.2025,"{'city': 'St. Polten', 'state': '', 'country': 'Austria'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Wellness""]",Open,Harald Schober,https://www.npcaustria.at/,2025,2025_austrian_oak_pro,austrian_oak_pro,austrian_oak_pro
https://www.ifbbpro.com/competition/2025-battle-of-the-bodies/,12.04.2025,12.04.2025,"{'city': 'Tulsa', 'state': 'OK', 'country': 'United States'}",IFBB Pro,"[""Women's Figure""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/,2025,2025_battle_of_the_bodies,battle_of_the_bodies,janet_layugs_battle_of_the_bodies
https://www.ifbbpro.com/competition/2025-body-be-1-classic-pro-am/,21.06.2025,21.06.2025,"{'city': 'Montgomery', 'state': 'AL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Figure"", ""Women's Fitness""]",Open and Masters,Roland Huff,https://www.bodybe1classic.com/,2025,2025_body_be_1_classic_pro_am,body_be_1_classic_pro_am,body_be_1_classic
https://www.ifbbpro.com/competition/2025-california-state-championships/,24.05.2025,24.05.2025,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding""]",Open,Tamer El Guindy,https://musclecontest.com/,2025,2025_california_state_championships,california_state_championships,california_state_pro
https://www.ifbbpro.com/competition/2025-california-supplement-spain-pro/,04.05.2025,04.05.2025,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Emilio Martinez,https://californiasupplementsproshow.com/,2025,2025_california_supplement_spain_pro,california_supplement_spain_pro,spain_california_supplements_pro
https://www.ifbbpro.com/competition/2025-charlotte-pro/,12.04.2025,12.04.2025,"{'city': 'Charlotte', 'state': 'NC', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open and Masters,Johnny Stewart,http://www.johnnystewartproductions.com,2025,2025_charlotte_pro,charlotte_pro,charlotte_pro
https://www.ifbbpro.com/competition/2025-daytona-pro-am-championships/,27.09.2025,27.09.2025,"{'city': 'Daytona Beach', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open and Masters,Michael Matassa,http://www.npcdbc.com/,2025,2025_daytona_pro_am_championships,daytona_pro_am_championships,daytona_pro_am
https://www.ifbbpro.com/competition/2025-dc-pro-am/,07.06.2025,07.06.2025,"{'city': 'Manassas', 'state': 'VA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Gary Udit,https://www.garyudit.com/,2025,2025_dc_pro_am,dc_pro_am,dc_pro
https://www.ifbbpro.com/competition/2025-detroit-pro-am/,29.03.2025,29.03.2025,"{'city': 'Detroit', 'state': 'MI', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique""]",Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro,2025,2025_detroit_pro_am,detroit_pro_am,detroit_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-2/,15.06.2025,15.06.2025,"{'city': 'Ningjin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_2,dms_china_pro_2,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-3/,11.05.2025,11.05.2025,"{'city': 'Jiangyin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_3,dms_china_pro_3,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-4/,31.08.2025,31.08.2025,"{'city': 'Tianjin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_4,dms_china_pro_4,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-5/,16.11.2025,16.11.2025,"{'city': 'Changsha', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_5,dms_china_pro_5,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro/,30.03.2025,30.03.2025,"{'city': 'Shanghai', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro,dms_china_pro,china_dms_pro
https://www.ifbbpro.com/competition/2025-dubai-pro/,20.06.2025,22.06.2025,"{'city': 'Dubai', 'state': '', 'country': 'United Arab Emirates'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Open,Mo Barakat & Adel Al Ali,,2025,2025_dubai_pro,dubai_pro,dubai_pro
https://www.ifbbpro.com/competition/2025-empro-classic-spain-pro/,15.06.2025,15.06.2025,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Emilio Martinez,https://emproclassic.com/,2025,2025_empro_classic_spain_pro,empro_classic_spain_pro,spain_empro_classic
