competitors_name,country,total,place,judging,finals,category,competition,location,date,url,img_url
Heather Hei Man Kam,"{'city': '', 'state': '', 'country': 'Hong Kong'}",9.0,3,9.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Ameera Klement,"{'city': '', 'state': '', 'country': 'Germany'}",24.0,8,24.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Nittaya Kongthun,"{'city': '', 'state': '', 'country': 'Thailand'}",4.0,1,4.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Pricila Rodrigues,"{'city': '', 'state': '', 'country': 'Brazil'}",5.0,2,5.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Kana Suzuki,"{'city': '', 'state': '', 'country': 'Japan'}",12.0,4,12.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Wendy Tsai,"{'city': '', 'state': '', 'country': 'Taiwan'}",21.0,7,21.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Jiaqi Wei,"{'city': '', 'state': '', 'country': 'China'}",15.0,5,15.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Hongmei Zhou,"{'city': '', 'state': '', 'country': 'China'}",18.0,6,18.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Abdullah Al Salem,"{'city': '', 'state': '', 'country': 'Kuwait'}",12.0,4,12.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Carlos Asiedu Ocran,"{'city': '', 'state': '', 'country': 'China'}",3.0,1,3.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ilya Kvashnin,"{'city': '', 'state': '', 'country': 'Russia'}",24.0,8,24.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Khrisna Purnama Putra,"{'city': '', 'state': '', 'country': 'Indonesia'}",6.0,2,6.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Yiming Wei,"{'city': '', 'state': '', 'country': 'China'}",9.0,3,9.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ren Yi Xie,"{'city': '', 'state': '', 'country': 'China'}",18.0,6,18.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Han Yang,"{'city': '', 'state': '', 'country': 'China'}",21.0,7,21.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xingwang Yang,"{'city': '', 'state': '', 'country': 'China'}",15.0,5,15.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xinyi Chen,"{'city': '', 'state': '', 'country': 'China'}",9.0,3,9.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Heather Hei Man Kam,"{'city': '', 'state': '', 'country': 'Hong Kong'}",6.0,2,6.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Jiaqi Wei,"{'city': '', 'state': '', 'country': 'China'}",3.0,1,3.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Hongmei Zhou,"{'city': '', 'state': '', 'country': 'China'}",12.0,4,12.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Amanda Marques Pereira,"{'city': '', 'state': '', 'country': 'Brazil'}",50.0,10,50.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Eli Fernandez,"{'city': '', 'state': '', 'country': 'Mexico'}",29.0,6,29.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Tamekia Carter,"{'city': '', 'state': '', 'country': 'United States'}",55.0,11,55.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Vania Auguste,"{'city': '', 'state': '', 'country': 'United States'}",15.0,3,15.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Ottavia Mazza,"{'city': '', 'state': '', 'country': 'Italy'}",40.0,8,40.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Aimee Delgado,"{'city': '', 'state': '', 'country': 'United States'}",8.0,2,8.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Phoebe Hagan,"{'city': '', 'state': '', 'country': 'United Kingdom'}",26.0,5,26.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Rhoda Allie,"{'city': '', 'state': '', 'country': 'Canada'}",35.0,7,35.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Ivanna Escandar,"{'city': '', 'state': '', 'country': 'Spain'}",45.0,9,45.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Angelica Teixeira,"{'city': '', 'state': '', 'country': 'United States'}",20.0,4,20.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Lauralie Chapados,"{'city': '', 'state': '', 'country': 'United States'}",7.0,1,7.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Akim Williams,"{'city': '', 'state': '', 'country': 'United States'}",55.0,6,35.0,20.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Antoine Vaillant,"{'city': '', 'state': '', 'country': 'Canada'}",65.0,7,30.0,35.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Justin Rodriguez,"{'city': '', 'state': '', 'country': 'United States'}",80.0,8,40.0,40.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
