place,judging,finals,total,competitors_name,country,competition_type,competition,location,date,url,img_url
7,21,21,21,Aslan Abdullayev,Kazakhstan,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
6,18,18,18,Ravi Chaudhary,India,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
1,3,3,3,Philippe Degila,France,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
4,11,11,11,Furkan Er,Turkey,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
2,6,6,6,Anik Ghosh,India,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
10,32,32,32,Aleksey Glushak,Belarus,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
3,10,10,10,Yeldos Kozybayev,Kazakhstan,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
-,0,0,0,Ilya Kvashnin,Russia,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
12,35,35,35,Vardhan Malhotra,India,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
8,24,24,24,Husain Manowchehri,Bahrain,Men's Physique - Open,2024-eurasia-championships,"Almaty,Kazakhstan",2024-06-29,https://www.ifbbpro.com/competition/2024-eurasia-championships/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024kazakhstanPRO_062924_results-800x722.jpg
