,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
0,February 22,,https://www.ifbbpro.com/competition/2025-musclecontest-japan/,"Tokyo, Japan",IFBB Pro,Women's Bikini,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
1,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Men's Bodybuilding,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
2,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Men's Classic Physique,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
3,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Men's Physique,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
4,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Men's Wheelchair,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
5,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Women's Bikini,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
6,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Women's Fitness,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
7,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,Women's Wellness,Open,Lloyd Davis (USA),https://www.arnoldsports.com/
8,March 8,,https://www.ifbbpro.com/competition/2025-san-diego-championships/,"San Diego, California",IFBB Pro,Women's Bikini,Open,Tamer El Guindy (USA),https://musclecontest.com/
9,March 15,,https://www.ifbbpro.com/competition/2025-musclecontest-campinas/,"Campinas, Brazil",IFBB Pro,Women's Bikini,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
10,March 22,,https://www.ifbbpro.com/competition/2025-fitworld/,"Anaheim, California",IFBB Pro,Men's Classic Physique,Open,Tamer El Guindy (USA),https://musclecontest.com/
11,March 29,,https://www.ifbbpro.com/competition/2025-detroit-pro-am/,"Detroit, MI, United States",IFBB Pro,Men's Bodybuilding,Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro
12,March 29,,https://www.ifbbpro.com/competition/2025-detroit-pro-am/,"Detroit, MI, United States",IFBB Pro,Men's Classic Physique,Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro
13,March 29,,https://www.ifbbpro.com/competition/2025-sampson-showdown/,"Las Vegas, NV, United States",IFBB Pro,Women's Wellness,Open and Masters,Patrick Sampson,https://sampsonproductionsllc.com/
14,March 30,,https://www.ifbbpro.com/competition/2025-dms-china-pro/,"Shanghai, China",IFBB Pro,Men's Classic Physique,Open,DMS China,https://www.dms-sports.com/en/
15,March 30,,https://www.ifbbpro.com/competition/2025-dms-china-pro/,"Shanghai, China",IFBB Pro,Men's Physique,Open,DMS China,https://www.dms-sports.com/en/
16,March 30,,https://www.ifbbpro.com/competition/2025-dms-china-pro/,"Shanghai, China",IFBB Pro,Women's Bikini,Open,DMS China,https://www.dms-sports.com/en/
17,April 4,April 5,https://www.ifbbpro.com/competition/2025-taiwan-pro/,"Kaohsiung, Taiwan",IFBB Pro,Women's Bikini,Open,John Chen,https://www.ifbbpro.com.tw/
18,April 4,April 6,https://www.ifbbpro.com/competition/2025-arnold-sports-festival-south-america/,"Sao Paulo, Brazil",IFBB Pro,Men's Bodybuilding,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
19,April 4,April 6,https://www.ifbbpro.com/competition/2025-arnold-sports-festival-south-america/,"Sao Paulo, Brazil",IFBB Pro,Men's Wheelchair,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
20,April 5,,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,"Columbus GA, GA, United States",IFBB Pro,Men's Classic Physique,Open and Masters,Roland Huff (Tri-City),https://www.bodybe1.com/tricityclassic
21,April 5,,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,"Columbus GA, GA, United States",IFBB Pro,Men's Physique,Open and Masters,Roland Huff (Tri-City),https://www.bodybe1.com/tricityclassic
22,April 5,,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,"Columbus GA, GA, United States",IFBB Pro,Women's Figure,Open and Masters,Roland Huff (Tri-City),https://www.bodybe1.com/tricityclassic
23,April 5,,https://www.ifbbpro.com/competition/2025-utah-cup/,"Holladay, UT, United States",IFBB Pro,Men's Classic Physique,Open and Masters,Steve Schmall,https://ssfitnessproductions.com/
24,April 5,,https://www.ifbbpro.com/competition/2025-triple-o-dynasty/,"Meza, Arizona, United States",IFBB Pro,Women's Bodybuilding,Open and Masters,"Cydney Gillon, Whitney Jones, Andrea Shaw",https://tripleodynasty.com/
25,April 5,,https://www.ifbbpro.com/competition/2025-triple-o-dynasty/,"Meza, Arizona, United States",IFBB Pro,Women's Figure,Open and Masters,"Cydney Gillon, Whitney Jones, Andrea Shaw",https://tripleodynasty.com/
26,April 12,,https://www.ifbbpro.com/competition/2025-musclecontest-nordeste/,"Recife, Brazil",IFBB Pro,Men's Physique,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
27,April 12,,https://www.ifbbpro.com/competition/2025-charlotte-pro/,"Charlotte, NC, United States",IFBB Pro,Men's Physique,Open and Masters,Johnny Stewart,http://www.johnnystewartproductions.com
28,April 12,,https://www.ifbbpro.com/competition/2025-charlotte-pro/,"Charlotte, NC, United States",IFBB Pro,Women's Bikini,Open and Masters,Johnny Stewart,http://www.johnnystewartproductions.com
29,April 12,,https://www.ifbbpro.com/competition/2025-battle-of-the-bodies/,"Tulsa, OK, United States",IFBB Pro,Women's Figure,Open and Masters,Eileen Calabrese,https://npcoklahoma.com/
30,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,Men's Bodybuilding,Open,Jens Thieme & Michael Kohler,
31,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,Men's Classic Physique,Open,Jens Thieme & Michael Kohler,
32,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,Women's Bikini,Open,Jens Thieme & Michael Kohler,
33,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,Women's Figure,Open,Jens Thieme & Michael Kohler,
34,April 19,,https://www.ifbbpro.com/competition/2025-st-louis-pro/,"St. Louis, MO, United States",IFBB Pro,Men's Physique,Open,Jack Titone,http://www.npcmidwest.com
35,April 19,,https://www.ifbbpro.com/competition/2025-st-louis-pro/,"St. Louis, MO, United States",IFBB Pro,Women's Wellness,Open,Jack Titone,http://www.npcmidwest.com
36,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Bodybuilding,Open,Corey Swiergosz,http://www.influentialSports.com
37,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Physique,Open,Corey Swiergosz,http://www.influentialSports.com
38,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Wellness,Open,Corey Swiergosz,http://www.influentialSports.com
