,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
0,February 22,,https://www.ifbbpro.com/competition/2025-musclecontest-japan/,"Tokyo, Japan",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
1,February 27,March 2,https://www.ifbbpro.com/competition/2025-arnold-classic/,"Columbus, OH, United States",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Men's Wheelchair"",""Women's Bikini"",""Women's Fitness"",""Women's Wellness""]",Open,Lloyd Davis (USA),https://www.arnoldsports.com/
2,March 8,,https://www.ifbbpro.com/competition/2025-san-diego-championships/,"San Diego, California",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
3,March 15,,https://www.ifbbpro.com/competition/2025-musclecontest-campinas/,"Campinas, Brazil",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
4,March 22,,https://www.ifbbpro.com/competition/2025-fitworld/,"Anaheim, California",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
5,March 29,,https://www.ifbbpro.com/competition/2025-detroit-pro-am/,"Detroit, MI, United States",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique""]",Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro
6,March 29,,https://www.ifbbpro.com/competition/2025-sampson-showdown/,"Las Vegas, NV, United States",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Patrick Sampson,https://sampsonproductionsllc.com/
7,March 30,,https://www.ifbbpro.com/competition/2025-dms-china-pro/,"Shanghai, China",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/
8,April 4,April 5,https://www.ifbbpro.com/competition/2025-taiwan-pro/,"Kaohsiung, Taiwan",IFBB Pro,"[""Women's Bikini""]",Open,John Chen,https://www.ifbbpro.com.tw/
9,April 4,April 6,https://www.ifbbpro.com/competition/2025-arnold-sports-festival-south-america/,"Sao Paulo, Brazil",IFBB Pro,"[""Men's Bodybuilding"",""Men's Wheelchair""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
10,April 5,,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,"Columbus GA, GA, United States",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Figure""]",Open and Masters,Roland Huff (Tri-City),https://www.bodybe1.com/tricityclassic
11,April 5,,https://www.ifbbpro.com/competition/2025-utah-cup/,"Holladay, UT, United States",IFBB Pro,"[""Men's Classic Physique""]",Open and Masters,Steve Schmall,https://ssfitnessproductions.com/
12,April 5,,https://www.ifbbpro.com/competition/2025-triple-o-dynasty/,"Meza, Arizona, United States",IFBB Pro,"[""Women's Bodybuilding"",""Women's Figure""]",Open and Masters,"Cydney Gillon, Whitney Jones, Andrea Shaw",https://tripleodynasty.com/
13,April 12,,https://www.ifbbpro.com/competition/2025-musclecontest-nordeste/,"Recife, Brazil",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
14,April 12,,https://www.ifbbpro.com/competition/2025-charlotte-pro/,"Charlotte, NC, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open and Masters,Johnny Stewart,http://www.johnnystewartproductions.com
