competition,date,location,promoter,comp_url,competition_subtype,competition_type
2025 ARNOLD CLASSIC,Feb 27 - Mar 2,"Columbus, OH",Lloyd Davis,https://www.ifbbpro.com/competition/2025-arnold-classic/,OPEN,Men's Bodybuilding
2025 DETROIT PRO,Mar 29,"Dearborn, MI",Fouad Abiad,https://www.ifbbpro.com/competition/2025-detroit-pro-am/,OPEN,Men's Bodybuilding
2025 ARNOLD SPORTS FESTIVAL SOUTH AMERICA,Apr 4-6,"Sao Paulo, Brazil",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-arnold-sports-festival-south-america/,OPEN,Men's Bodybuilding
2025 FIBO CHAMPIONSHIPS,Apr 11-12,"Cologne, Germany",Michael Kohler & Jens Thieme,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,OPEN,Men's Bodybuilding
2025 EMERALD CUP MASTERS PRO,May 2,"Bellevue, WA",Ivan Ribic,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,MASTERS 40/50/60/70,Men's Bodybuilding
2025 PITTSBURGH POWER & FITNESS FESTIVAL,May 10-11,Pittsburgh. PA,Jim Manion,https://www.ifbbpro.com/competition/2025-pittsburgh-power-fitness-festival/,OPEN,Men's Bodybuilding
2025 NEW YORK PRO,May 17,"Teaneck, NJ",Steve Weinberger,https://www.ifbbpro.com/competition/2025-new-york-pro/,OPEN,Men's Bodybuilding
2025 CALIFORNIA STATE PRO,May 24,"Anaheim, CA",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-california-state-championships/,OPEN,Men's Bodybuilding
2025 AGP KOREA NATURAL PRO SHOW,May 24,South Korea,Alex Hong,https://www.ifbbpro.com/competition/2025-agp-natural-pro-show/,NATURAL OPEN,Men's Bodybuilding
2025 LEGION SPORTS FEST PRO,May 31,"Reno, NV",Chris Minnes,https://www.ifbbpro.com/competition/2025-legion-sports-fest/,OPEN,Men's Bodybuilding
2025 TORONTO PRO SUPERSHOW,Jun 8,"Toronto, Canada",Ron Hache,https://www.ifbbpro.com/competition/2025-toronto-pro-supershow/,OPEN + MASTERS 40,Men's Bodybuilding
2025 EMPRO CLASSIC,Jun 15,"Alicante, Spain",Emilio Martinez,https://www.ifbbpro.com/competition/2025-empro-classic/,OPEN,Men's Bodybuilding
2025 DUBAI PRO,Jun 20-22,"Dubai, United Arab Emirates",Mo Barakat & Adel Al Ali,https://www.ifbbpro.com/competition/2025-dubai-pro/,OPEN,Men's Bodybuilding
2025 HUANJI CHINA PRO,Jun 22,"Beijing, China",George Zhang,https://www.ifbbpro.com/competition/2025-huanji-china-pro-2/,OPEN,Men's Bodybuilding
2025 FLEX WEEKEND ITALY PRO,Jun 29,"Milan, Italy",Barbara Bagnuolo,https://www.ifbbpro.com/competition/2025-flex-weekend-italy-pro/,OPEN + MASTERS 40,Men's Bodybuilding
2025 MR BIG EVOLUTION PORTUGAL PRO,Jul 6,"Estoril, Portugal",Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,OPEN,Men's Bodybuilding
2025 CHICAGO PRO,Jul 18-19,"Rosemont, IL",Tim Gardner,https://www.ifbbpro.com/competition/2025-chicago-pro/,OPEN + MASTERS 40/45/50/55/60,Men's Bodybuilding
2025 TAMPA PRO,Jul 31-Aug 2,"Tampa, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-tampa-pro/,OPEN + MASTERS 40/45/50/55/60,Men's Bodybuilding
2025 NATURAL CANADA PRO SHOW,Aug 3,Canada,Rudy Jambrosic,https://www.ifbbpro.com/competition/2025-natural-canada-pro-show/,NATURAL OPEN,Men's Bodybuilding
2025 TEXAS PRO,Aug 8-9,"Irving, TX",Freddy Naidu | Sheilahe Brown,https://www.ifbbpro.com/competition/2025-texas-pro/,OPEN,Men's Bodybuilding
2025 TUPELO PRO,Aug 8-9,"Tupelo, MS",Judy Gaillard,https://www.ifbbpro.com/competition/2025-tupelo-pro/,MASTERS 40/50,Men's Bodybuilding
2025 MIDWEST NATURALS PRO,Aug 9,"St. Louis, MO",Jack Titone,https://www.ifbbpro.com/competition/2025-midwest-naturals-pro/,NATURAL OPEN,Men's Bodybuilding
2025 MASTERS OLYMPIA,Aug 9-10,"Tokyo, Japan",Masters Olympia,https://www.ifbbpro.com/2025-masters-olympia-qualifying-system/,MASTERS 40,Men's Bodybuilding
