Competition,Category,Place,Name,Score
European Amateur Championships - IFBB,HeavyWeight,1,Sabine Bracht
  (Germany),
European Amateur Championships - IFBB,HeavyWeight,2,Antonella Centanaro,
European Amateur Championships - IFBB,HeavyWeight,3,Darina Gajovska
  (Czech Republic),
European Amateur Championships - IFBB,HeavyWeight,4,Angelika Loebardt
  (Germany),
European Amateur Championships - IFBB,HeavyWeight,5,Erika Taksony
  (Hungary),
European Amateur Championships - IFBB,MiddleWeight,1,Elena Dovidova
  (Russia),
European Amateur Championships - IFBB,MiddleWeight,2,Monica Sas
  (Romania),
European Amateur Championships - IFBB,MiddleWeight,3,Guzel Akgul
  (Netherlands),
European Amateur Championships - IFBB,MiddleWeight,4,Rosi Kolodziej
  (Germany),
European Amateur Championships - IFBB,MiddleWeight,5,Hana Stepankova,
European Amateur Championships - IFBB,LightWeight,1,Jitka Statsna,
European Amateur Championships - IFBB,LightWeight,2,Ilina Allaianova,
European Amateur Championships - IFBB,LightWeight,3,Tepes Zeliha,
European Amateur Championships - IFBB,LightWeight,4,Elisabeth Canella,
European Amateur Championships - IFBB,LightWeight,5,Monique Broers
  (Netherlands),
Grand Prix Prague - IFBB,,1,Laura Binetti,
Grand Prix Prague - IFBB,,2,Eva Sukupova,
Grand Prix Prague - IFBB,,3,Andrulla Blanchette,
Grand Prix Prague - IFBB,,4,Vickie Gates,
Grand Prix Prague - IFBB,,5,Astrid Falconi,
Grand Prix Prague - IFBB,,6,Francesca Petitjean,
Grand Prix Prague - IFBB,,7,Sara Jane King,
Grand Prix Prague - IFBB,,8,Yaxeni Oriquen,
Grand Prix Prague - IFBB,,9,Colleen Yates,
Grand Prix Prague - IFBB,,10,Linda Battaglia,
Grand Prix Prague - IFBB,,11,Mary Ellen Jerumbo,
Grand Prix Prague - IFBB,,12,Sandra Berry,
Grand Prix Prague - IFBB,,13,Sipka Biserka,
Grand Prix Prague - IFBB,,14,Yvonne Vasquez,
Grand Prix Slovakia - IFBB,,1,Zuzanna Korinkova,
Grand Prix Slovakia - IFBB,,2,Laura Binetti,
