Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Abbas Al Hindawi
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Lim Kim Soon
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,3,Ferry Marulla
  (Indonesia),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Ahmad Abbas Khadem
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Kim Soon Yong
  (Korea),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Aziz Ullah
  (Pakistan),
Asian Amateur Championships - IFBB,MiddleWeight,1,A Khadi
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,2,Cheng Hai-Yuan
  (Taiwan),
Asian Amateur Championships - IFBB,MiddleWeight,3,Teh Ah Fook
  (Malaysia),
Asian Amateur Championships - IFBB,LightWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,LightWeight,2,Ahmed Hadi
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,3,Khoo Ewe Beng
  (Malaysia),
Asian Amateur Championships - IFBB,BantamWeight,1,Bujang Taha
  (Malaysia),
Asian Amateur Championships - IFBB,BantamWeight,2,Talib Shehab
  (Iraq),
Asian Amateur Championships - IFBB,BantamWeight,3,Yutaka Ono    小野豊

  (Japan),
Canada Pro Cup - IFBB,,1,Chris Dickerson,
Canada Pro Cup - IFBB,,2,Boyer Coe,
Canada Pro Cup - IFBB,,3,Dennis Tinerino,
Canada Pro Cup - IFBB,,5,Steve Davis (1),
Canada Pro Cup - IFBB,,5,Roy Duval,
Canada Pro Cup - IFBB,,5,Tony Emmott,
Canada Pro Cup - IFBB,,5,Bill Grant,
Canada Pro Cup - IFBB,,9,Mohamed Makkawy,
Canada Pro Cup - IFBB,,9,Ray Mentzer,
Canada Pro Cup - IFBB,,9,Don Ross,
European Amateur Championships - IFBB,HeavyWeight,1,Peter Uricek
  (Serbia & Montenegro),
European Amateur Championships - IFBB,HeavyWeight,2,Christer Eriksson
  (Sweden),
European Amateur Championships - IFBB,HeavyWeight,3,Alois Pek,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Johnny Fuller
  (England),
European Amateur Championships - IFBB,Light-HeavyWeight,2,Libor Minarik
  (Serbia & Montenegro),
European Amateur Championships - IFBB,Light-HeavyWeight,3,Ulf Bengtsson
  (Sweden),
European Amateur Championships - IFBB,MiddleWeight,1,Anton Holic
  (Serbia & Montenegro),
European Amateur Championships - IFBB,MiddleWeight,2,Robert Dantlinger
  (Serbia & Montenegro),
European Amateur Championships - IFBB,MiddleWeight,3,Ali Tez
  (Turkey),
