Year,Gender,Competition,Category,Place,Name,Score,Category_Subtype
1976,female,Ms Eastern America,womensbb,1,Mary Kitt,,
1976,female,Ms Eastern America,womensbb,2,Nytza Maldonado,,
1976,female,Ms Eastern America,womensbb,2,Zuleka Reyes,,
1976,female,Ms Eastern America,womensbb,3,Marjie Villa,,
1976,female,Ms Eastern USA,womensbb,1,April Nicotra,,
1976,female,Ms Eastern USA,womensbb,2,Nytza Maldonado,,
1976,female,Ms Eastern USA,womensbb,3,Patty Clifford,,
1979,female,Best in the World,womensbb,1,Patsy Chapman,,
1979,female,Best in the World,womensbb,2,April Nicotra,,
1979,female,Best in the World,womensbb,3,Stacey Bentley,,
1979,female,Best in the World,womensbb,4,Bette Brown,,
1979,female,Best in the World,womensbb,5,Carla Dunlap,,
1979,female,World Pro Championships,womensbb,1,Lisa Lyons,,
1979,female,World Pro Championships,womensbb,2,Claudia Wilbourn,,
1980,female,Olympia,womensbb,1,Rachel McLish,,
1980,female,Olympia,womensbb,2,Auby Paulick,,
1980,female,Olympia,womensbb,3,Lynn Conkwright,,
1980,female,Olympia,womensbb,4,Corine Machado-Ching,,
1980,female,Olympia,womensbb,5,Stacey Bentley,,
1980,female,Olympia,womensbb,6,Sue Green,,
1980,female,Olympia,womensbb,7,Patsy Chapman,,
1980,female,Olympia,womensbb,8,Kyle Newman,,
1980,female,Olympia,womensbb,9,Cammie Lusko,,
1980,female,Olympia,womensbb,10,Georgia Fudge,,
1980,female,Olympia,womensbb,11,Mimi Rivest,,
1980,female,Olympia,womensbb,12,April Nicotra,,
1980,female,Olympia,womensbb,13,Carolyn Cheshire,,
1980,female,Olympia,womensbb,14,Sandy Connors,,
1980,female,Olympia,womensbb,15,Lorie Johnston,,
1980,female,Olympia,womensbb,16,Anniqua Fors,,
1980,female,Olympia,womensbb,17,Lenore Clark,,
1980,female,Olympia,womensbb,18,Donna Simms,,
1980,female,Olympia,womensbb,19,Lynde Johnson,,
1980,female,Olympia,womensbb,20,Kelly Everts,,
1981,female,Grand Prix Montreal,womensbb,1,Shelley Gruwell,,
1981,female,Grand Prix Montreal,womensbb,2,Sherry Atton,,
1981,female,Grand Prix Montreal,womensbb,3,Kay Baxter,,
1981,female,Night of Champions,womensbb,1,Carla Dunlap,,
1981,female,Night of Champions,womensbb,2,Cynthia Williams,,
1981,female,Night of Champions,womensbb,3,Maro Bchakjian,,
1981,female,Night of Champions,womensbb,4,Patti Gogis,,
1981,female,Night of Champions,womensbb,5,Shirley Kemper,,
1981,female,Night of Champions,womensbb,6,Joan Hobbie,,
1981,female,Night of Champions,womensbb,7,Valerie Mayers,,
1981,female,Night of Champions,womensbb,8,Barbara Lamb,,
1981,female,Night of Champions,womensbb,9,Cindy Cittidari,,
